Wall time,Step,Value
1690935206.2079425,1,0.04399999976158142
1690937812.7346346,2,0.030300000682473183
1690940424.0845098,3,0.02669999934732914
1690943020.0038493,4,0.024000000208616257
1690945634.4063995,5,0.021900000050663948
1690948236.8694212,6,0.020800000056624413
1690950838.1400921,7,0.01899999938905239
1690953438.1323075,8,0.017899999395012856
1690956038.5295677,9,0.01679999940097332
1690958640.567294,10,0.015699999406933784
1690961247.4850554,11,0.014499999582767487
1690963855.9438784,12,0.014399999752640724
1690966467.5900002,13,0.0142000000923872
1690969083.3616407,14,0.013899999670684338
1690971696.7112722,15,0.013700000010430813
1690974307.3266103,16,0.013500000350177288
1690976920.2565308,17,0.013299999758601189
1690979529.0742826,18,0.013199999928474426
1690982139.4717524,19,0.013100000098347664
1690984749.1283083,20,0.012900000438094139
